architect_id,architectJa,split_count,normalized_names,normalized_slugs
61,指宿真智雄＋建築デザイン　緑地デザイン　設備デザイン,3,指宿真智雄＋建築デザイン | 緑地デザイン | 設備デザイン,指宿真智雄＋建築dezain | 緑地dezain | 設備dezain
67,清家清　戸田建設,2,清家清 | 戸田建設,清家清 | 戸田建設
85,川崎製鉄営繕部建築課　村野・森建築事務所,2,川崎製鉄営繕部建築課 | 村野・森建築事務所,川崎製鉄営繕部建築課 | 村野・森建築事務所
114,兵庫沖縄友愛運動推進協議会　小野建築設計事務所,2,兵庫沖縄友愛運動推進協議会 | 小野建築設計事務所,兵庫沖縄友愛運動推進協議会 | 小野建築設計事務所
132,環境設計研究所　谷口アトリエ　熊井建築設計事務所,3,環境設計研究所 | 谷口アトリエ | 熊井建築設計事務所,環境設計研究所 | 谷口atorie | 熊井建築設計事務所
139,AZ Institute　山崎泰孝,2,AZ Institute | 山崎泰孝,AZ-Institute | 山崎泰孝
240,小林美夫＋アトリエ・K　日本綜合建築事務所,2,小林美夫＋アトリエ・K | 日本綜合建築事務所,小林美夫＋atorie・K | 日本綜合建築事務所
330,本江謙次　保坂高,2,本江謙次 | 保坂高,本江謙次 | 保坂高
414,寺本文夫　寺本晰子,2,寺本文夫 | 寺本晰子,寺本文夫 | 寺本晰子
543,内田繁　三橋いく代,2,内田繁 | 三橋いく代,内田繁 | 三橋iku代
739,設計・計画工房　谷口吉生　高宮真介,3,設計・計画工房 | 谷口吉生 | 高宮真介,設計・計画工房 | yoshio-taniguchi | 高宮真介
797,小野辺均　内木政治,2,小野辺均 | 内木政治,小野辺均 | 内木政治
883,TEAM ZOO　いるかグループ,2,TEAM ZOO | いるかグループ,TEAM-ZOO | irukaguruーpu
961,建築計画　元倉真琴　飯田善彦,3,建築計画 | 元倉真琴 | 飯田善彦,建築計画 | 元倉真琴 | 飯田善彦
1050,都市建築設計事務所　Kアトリエ,2,都市建築設計事務所 | Kアトリエ,都市建築設計事務所 | Katorie
