architect_id,architectJa,architectEn,slug
1,パンジョ設計共同体(環境開発研究所＋坂倉建築研究所),Panjo design collaborative (kankyo kaihatsu kenkyusho + sakakura architects & engineers),panjo-design-collaborative
2,鹿島建設,KAJIMA Corporation,kajima-corporation
3,黒川紀章建築都市設計事務所,KSYO KUROKAWA ARCHITECTS&ASSOCIATES,ksyo-kurokawa-architects-associates
4,日本大学小林美夫研究室＋アトリエ・K,"Mio kobayashi laboratory, nihon university + atelier k",mio-kobayashi-laboratory-nihon-university-atelier-k
5,白井建築研究所,Shirai architectural institute,shirai-architectural-institute
6,槇総合計画事務所,MAKI AND ASSOCIATES,maki-and-associates-6
7,磯崎新アトリエ＋環境計画,Arata isozaki atelier + environmental planning,arata-isozaki-atelier-environmental-planning
8,竹中工務店,TAKENAKA CORPORATION,takenaka-corporation-8
9,日本電信電話公社建築局,Nippon Telegraph and Telephone Public Corporation Building Department,nippon-telegraph-and-telephone-public-corporation-building-department
10,安井建築設計事務所,YASUI ARCHITECTS & ENGINEERS,yasui-architects-engineers-10
11,日建設計・大阪,NIKKEN SEKKEI Planners Architects & Engineers,nikken-sekkei-planners-architects-engineers
12,菊竹清訓建築設計事務所,KIYONORI KIKUTAKE ARCHITECTS,kiyonori-kikutake-architects
14,篠原一男,KAZUO SHINOHARA Atelier,kazuo-shinohara-atelier-14
15,fromnow,Fromnow,fromnow
16,木村誠之助総合計画事務所,SEINOSUKE KIMURA ARCHITECTS,seinosuke-kimura-architects
17,日建設計・東京,NIKKEN SEKKEI,nikken-sekkei-17
19,日大生産工学部宗研究室＋千代田建築研究所,"So laboratory, college of industrial engineering, nihon university + chiyoda architectural institute",so-laboratory-college-of-industrial-engineering-nihon-university-chiyoda-architectural-institute-19
20,池田設計事務所,Ikeda Design Office,ikeda-design-office
21,岡田新一設計事務所,OKADA & ASSOCIATES,okada-associates-21
22,浦辺建築事務所,Urabe architects office,urabe-architects-office
23,黒川紀章建築・都市設計事務所,KISHO KUROKAWA Architect & Associates,kisho-kurokawa-architect-associates-23
